CT_FIPS,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,Freight,TRI,RMP,Psites,Waste,PWDis,CF,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW
17031711500,10.24505288,65.91309,0.538881658,30,6540.383191,200.2238402,1.030193435,3.563440654,0.386737543,2233537.595,0,0.050296654,0,255.6408853,0.700150103,1,4.283054004,0.369690011,0.14301676,13.1,13.05530372,0.5,7.699732362,12.50010664,0.204841713,0.210055866,0.195903166,9.601107894
17031720100,10.30799479,65.70326,0.530424394,30,7388.804296,153.8750725,0.580287735,0.800955581,0.705286395,0,0,0.255397144,0,79.08791001,0,0.43727491,1.56062425,0.132783883,0.115546218,2.4,17.33174509,0.9,4.800013659,8.70002846,0.066626651,0.25030012,0.18937575,4.600157943
17031720200,10.31694849,65.72696,0.53223499,30,6292.042316,136.8167018,0.580254346,0.821430277,0.859119682,0,0,0.027655609,0,220.0548821,0.374445271,0.569076593,2.887139108,0.230483271,0.094894147,1.4,8.568496665,0.9,4.700257401,9.997245248,0.133142448,0.242424242,0.201861131,8.192419137
17031720300,10.32493616,65.76697,0.531767858,30,6322.53223,183.9646208,0.550360641,0.799436631,0.223923987,0,0,0.003068645,0,55.8757192,0.059590822,0.414685684,3.116745906,0.111925383,0.054146857,3.4,6.34032634,0.6,4.99949326,8.999284525,0.120972002,0.166666667,0.215002641,5.298448947
17031720400,10.33781589,65.86078,0.512919925,30,5858.035769,130.9171997,0.58039655,0.799436635,0.372775457,0,0,0.001167339,0,56.66713821,9.62E-05,0.169642857,5.409663866,0.121345029,0.030095037,3.3,2.452830189,0.7,4.29995839,8.499986558,0.082983193,0.237394958,0.143907563,3.40026965
17031720500,10.35135836,65.89341,0.46510885,30,5519.467789,153.2951706,0.580386413,0.799387586,0.586502676,0,0,0.037206264,0,64.65305407,0.019054679,0.140495868,1.136363636,0.173076923,0.015495868,3.8,2.368421053,0.2,4.00002538,8.400013217,0.068698347,0.243285124,0.144628099,4.900027036
17031720600,10.33390849,65.84646,0.49337471,30,5679.863505,180.0866407,0.550377234,0.799436641,0.124931792,0,0,0.000981219,0,67.31042381,0.067514211,0.34665166,0.900393922,0.226624406,0.062464828,2,8.73015873,0.8,4.500043657,8.600097842,0.093978616,0.288126055,0.175576815,7.099935181
17031720700,10.32366493,65.80931,0.511620619,30,5819.351318,85.84301966,0.550268919,0.799504948,0.57232236,0,0,0.003129832,0,142.0276821,0.371924613,0.762111594,2.906782492,0.199658703,0.043434681,4.8,4.468325792,0.5,4.500104609,10.30001979,0.120948881,0.142666221,0.191780822,4.700533628
17031730100,10.25359205,65.88636,0.546904643,30,6576.861935,174.9951057,0.630263765,3.236118562,0.300489013,1466781.035,0,0.032134498,0,282.8217221,0.469345348,0.973799127,1.898503103,0.307857912,0.162299854,14.7,12.3655914,0.8,7.299996536,11.70003886,0.290617014,0.247900694,0.204512373,12.2002357
17031730201,10.28258274,65.79033,0.532246073,30,6926.148517,140.5866128,0.640938683,3.233535106,0.390838274,121902.3311,0,0.152071205,0,259.0501779,0.141805899,0.978916256,9.083743842,0.481945113,0.1624305,11,14.44748145,0,6.900426059,12.59858986,0.167684729,0.12453202,0.179310345,11.40225011
17031730202,10.26762466,65.85786,0.532624849,30,6716.945209,169.3141817,0.740278527,3.233701468,0.523337167,8824235.086,0,0.273155648,0,267.3081981,1.432892915,0.988250653,9.857192616,0.359483615,0.068634424,4.4,17.02412869,0.1,6.700116025,11.00031985,0.145245559,0.22117729,0.234334204,9.501002717
17031730300,10.29887479,65.77227,0.531969781,30,7053.234071,175.7181702,0.590278302,3.196523871,0.205253084,0,0,0.114758207,0,250.6462609,0,1,10.78140455,0.461139896,0.112759644,14,31.0421286,0.5,6.199964734,12.2998579,0.220573689,0.175074184,0.239366963,7.700476138
17031730400,10.29203671,65.7908,0.532877724,30,6485.556478,678.5047029,0.59077603,3.198990357,0.520903608,455089.9244,0,0.139403508,0,301.6460788,0.123380779,0.970814849,7.726527745,0.277234637,0.182392882,15.2,6.477927063,0.2,6.998765713,11.60124834,0.215406228,0.228517911,0.152696708,14.07912913
17031730500,10.27003507,65.78264,0.555269817,30,6264.245317,1251.171411,0.570384287,3.235132645,0.493822308,0.020600698,0,0.014324505,0,340.3303041,0.026279514,0.997440074,13.52106121,0.269078575,0.231091459,11.6,16.28012733,0,7.798422747,11.99923958,0.199441471,0.158948103,0.226204329,9.30829681
17031730600,10.29874192,65.75816,0.535137984,30,6145.645685,1038.945732,0.580236596,3.232961541,0.397333058,0,0,0,0,344.5479542,0.089159519,0.991037132,3.943661972,0.390310786,0.212291933,5.7,16.10921502,0.5,7.699965012,11.90000319,0.138028169,0.300896287,0.171830986,9.400419177
17031730700,10.30456274,65.69516,0.523455479,30,5832.492352,517.5669748,0.570226061,3.231525027,0.398235211,0,0,3.58E-07,0,395.20833,0.172316712,1,7.937200174,0.354060914,0.149149586,11.4,15.56603774,0,7.299933741,12.39989906,0.182730048,0.254688181,0.152202355,11.09998036
17031740100,10.35903315,65.96858,0.417900769,20,5403.869113,265.2480319,0.570389478,0.690503745,0.497630396,0,0,0.134543136,0,71.13494624,0.086747844,0.159871589,1.412520064,0.206005004,0.121669342,7.3,4.904458599,1.1,4.999981352,8.999999662,0.175922953,0.27576244,0.152166934,0
17031740200,10.36340521,65.94735,0.425775231,30,5374.185657,176.5891862,0.590505959,0.689560789,0.059840297,0,0,0.29253654,0,61.68716324,0.013311364,0.201907068,2.694112305,0.149017729,0.070916069,3.6,4.405737705,1.8,4.39999385,9.099977848,0.106553655,0.226275163,0.157862873,2.000065537
17031740300,10.36940521,65.92099,0.405318192,20,5246.693358,150.7393832,0.570397914,0.689560763,0.059135442,0,0,0.139727015,0,72.59354929,0.487024319,0.140920869,2.092884194,0.105208871,0.003787124,5.9,5.149884704,0.7,4.200010479,8.400037129,0.085907913,0.235598964,0.155272075,3.39998373
17031740400,10.37086795,66.04125,0.401606445,20,5370.037881,100.4974886,0.60039646,0.689561301,0.10207986,522286.2963,0,0.240954023,0,90.85809359,0.442232226,0.18003377,4.242296328,0.171003717,0.020472773,2.2,7.539226942,0.4,4.300003999,8.799995709,0.099197974,0.264879696,0.091388772,0
17031750100,10.31536356,65.74824,0.486835001,20,5600.63036,787.4322172,0.570226845,1.536582877,0.692273969,0,0,0.061185673,0,465.3849145,0.176967561,0.929081507,10.90864319,0.290301003,0.150829563,7.8,20.90592334,0,7.299843687,11.9998772,0.123368628,0.208076828,0.179019946,8.900088847
17031750200,10.33717836,65.78211,0.478234911,20,5547.698556,235.795418,0.560368035,1.534289777,0.566110781,0,0,0.213215421,0,93.70455853,0.190405512,0.704831933,0.910364146,0.323974082,0.056722689,1.3,10.46171829,2.4,4.700304304,9.900084434,0.072478992,0.205182073,0.12219888,5.800692607
